id,name,start_date,end_date,replaces,replaced_by
Q887755,Fruto Chamorro,1854-04-30,1855-03-12,,
Q887506,José María Estrada,1855-03-12,1855-10-22,,
Q888502,Patricio Rivas,1855-10-30,1857-06-24,,
Q196401,William Walker (filibuster),1856-07-12,1857-05-01,,
Q432966,Máximo Jerez,1857-06-24,1857-11-15,,
Q888726,Tomás Martínez,1857-11-15,1867-03-01,,
Q352744,Fernando Guzmán Solórzano,1867-03-01,1871-03-01,,
Q355647,José Vicente Cuadra,1871-03-01,1875-03-01,,
Q888722,Pedro Joaquín Chamorro Alfaro,1875-03-01,1879-03-01,,
Q578353,Joaquín Zavala,1879-03-01,1883-03-01,,
Q380285,Adán Cárdenas,1883-03-01,1887-03-01,,
Q352550,Evaristo Carazo,1887-03-01,1889-08-01,,
Q352555,Nicolás Osorno,1889-08-01,1889-08-05,,
Q569276,Roberto Sacasa,1889-08-05,1891-01-01,,
Q888515,Ignacio Chávez (President of Nicaragua),1891-01-01,1891-03-01,,
Q569276,Roberto Sacasa,1891-03-01,1893-07-11,,
Q888696,Salvador Machado,1893-07-11,1893-07-15,,
Q578353,Joaquín Zavala,1893-07-16,1893-07-25,,
Q560938,José Santos Zelaya,1893-07-25,1909-12-21,,
Q888699,José Madriz,1909-12-21,1910-08-20,,
Q17994383,José Dolores Estrada (President of Nicaragua),1910-08-20,1910-08-27,,
Q536417,Luis Mena,1910-08-27,1910-08-30,,
Q435386,Juan José Estrada,1910-08-30,1911-05-09,,
Q142505,Adolfo Díaz,1911-05-09,1917-01-01,,
Q727025,Emiliano Chamorro Vargas,1917-01-01,1921-01-01,,
Q887460,Diego Manuel Chamorro,1921-01-01,1923-10-12,,
Q3647363,Rosendo Chamorro,1923-10-12,1923-10-27,,
Q438858,Bartolomé Martínez,1923-10-27,1925-01-01,,
Q549094,Carlos José Solórzano,1925-01-01,1926-03-14,,
Q727025,Emiliano Chamorro Vargas,1926-03-14,1926-11-11,,
Q338314,Sebastián Uriza,1926-11-11,1926-11-14,,
Q142505,Adolfo Díaz,1926-11-14,1929-01-01,,
Q727208,José María Moncada,1929-01-01,1933-01-01,,
Q650211,Juan Bautista Sacasa,1933-01-01,1936-06-09,,
Q888522,Carlos Alberto Brenes,1936-06-09,1937-01-01,,
Q312622,Anastasio Somoza García,1937-01-01,1947-05-01,,
Q888739,Leonardo Argüello Barreto,1947-05-01,1947-05-26,,
Q435184,Benjamín Lacayo Sacasa,1947-05-26,1947-08-15,,
Q740452,Víctor Manuel Román y Reyes,1947-08-15,1950-05-06,,
Q888462,Manuel Fernando Zurita,1950-05-06,1950-05-07,,
Q312622,Anastasio Somoza García,1950-05-07,1956-09-29,,
Q529610,Luis Somoza Debayle,1956-09-29,1963-05-01,,
Q182848,René Schick,1963-05-01,1966-08-03,,
Q3649027,Orlando Montenegro Medrano,1966-08-03,1966-08-04,,
Q888703,Lorenzo Guerrero,1966-08-04,1967-05-01,,
Q218443,Anastasio Somoza Debayle,1967-05-01,1972-05-01,,
Q218443,Anastasio Somoza Debayle,1974-12-01,1979-07-17,,
Q772871,Francisco Urcuyo,1979-07-17,1979-07-18,,
Q57402,Daniel Ortega,1985-01-10,1990-04-25,,
Q114142,Violeta Chamorro,1990-04-25,1997-01-10,,
Q356647,Arnoldo Alemán,1997-01-10,2002-01-10,,
Q311355,Enrique Bolaños,2002-01-10,2007-01-10,,
Q57402,Daniel Ortega,2007-01-10,,,
